date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:46:56	72148/72148	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff2	C:/Users/dell/Desktop/new%20project/login/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff2	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:46:57	125016/125016	---M--	200	added ('OK')	font/ttf	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.ttf	C:/Users/dell/Desktop/new%20project/login/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.ttf	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:46:57	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Jan%202023%2007:16:56%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.svg	C:/Users/dell/Desktop/new%20project/login/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.13.delayed	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:46:58	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot	C:/Users/dell/Desktop/new%20project/login/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:46:58	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot?	C:/Users/dell/Desktop/new%20project/login/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400d41d.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:46:58	13608/13608	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff2	C:/Users/dell/Desktop/new%20project/login/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff2	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:46:58	16812/16812	---M--	200	added ('OK')	font/woff	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff	C:/Users/dell/Desktop/new%20project/login/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:46:59	34092/34092	---M--	200	added ('OK')	font/ttf	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.ttf	C:/Users/dell/Desktop/new%20project/login/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.ttf	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:46:59	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Jan%202023%2007:16:58%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.svg	C:/Users/dell/Desktop/new%20project/login/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.svg	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:46:59	186512/186512	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.eot	C:/Users/dell/Desktop/new%20project/login/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
